PROVINCIE,link organisatie,type org,naam,adres,postcode,plaats,posx,posY,provincie,telf,regio
noord-holland,"/zorgorganisatie/794324/psychologenpraktijk/amsterdam/praktijk-frederiksplein",psychologenpraktijk,Praktijk Frederiksplein - Amsterdam,Frederiksplein 6-i,1017 XM ,Amsterdam,52.360954,4.899163,,06-14794886,
noord-holland,"/zorgorganisatie/810952/psychologenpraktijk/amsterdam/citroen-p",psychologenpraktijk,Citroen P - Amsterdam,Nieuwe Keizersgracht 14,1018 DR ,Amsterdam,52.364517,4.902977,,020-6257692,
noord-holland,"/zorgorganisatie/810979/psychologenpraktijk/amsterdam/leen-psychologisch-advies-vd",psychologenpraktijk,Leen Psychologisch Advies vd - Amsterdam,Nieuwe Keizersgracht 58,1018 DT ,Amsterdam,52.365139,4.906252,,020-6644001,
noord-holland,"/zorgorganisatie/810918/psychologenpraktijk/amsterdam/crusio-eerstelijns-gz-psycholoog-drs-els",psychologenpraktijk,Crusio Eerstelijns Gz Psycholoog Drs Els - Amsterdam,Sarphatistraat 98,1018 GV ,Amsterdam,52.361942,4.912500,,020-4204653,
noord-holland,"/zorgorganisatie/810920/psychologenpraktijk/amsterdam/ferwerda-drs-w",psychologenpraktijk,Ferwerda Drs W - Amsterdam,Admiraliteitstraat 38,1018 KP ,Amsterdam,52.368538,4.924449,,020-4213048,
noord-holland,"/zorgorganisatie/810955/psychologenpraktijk/amsterdam/goedhart-drs-daan",psychologenpraktijk,Goedhart Drs Daan - Amsterdam,Wittenburgergracht 10,1018 MT ,Amsterdam,52.369858,4.918527,,020-6272813,
noord-holland,"/zorgorganisatie/810919/psychologenpraktijk/amsterdam/lelie-de",psychologenpraktijk,Lelie de - Amsterdam,Oostenburgergracht 10,1018 NA ,Amsterdam,52.368744,4.921716,,020-4207758,
noord-holland,"/zorgorganisatie/810923/psychologenpraktijk/amsterdam/psychoanalytische-praktijk",psychologenpraktijk,Psychoanalytische Praktijk - Amsterdam,Hortusplantsoen 14,1018 TZ ,Amsterdam,52.366199,4.907123,,020-4235673,
noord-holland,"/zorgorganisatie/810914/psychologenpraktijk/amsterdam/compaan-counseling",psychologenpraktijk,Compaan Counseling - Amsterdam,J.F. van Hengelstraat 30,1019 DC ,Amsterdam,52.374599,4.948137,,020-4195414,
noord-holland,"/zorgorganisatie/810915/psychologenpraktijk/amsterdam/psychologisch-centrum-aan-het-ij",psychologenpraktijk,Psychologisch Centrum Aan Het Ij - Amsterdam,Oostelijke Handelskade 1101,1019 DN ,Amsterdam,52.373863,4.938071,,020-4197456,
noord-holland,"/zorgorganisatie/810913/psychologenpraktijk/amsterdam/wieringa-erwin",psychologenpraktijk,Wieringa Erwin - Amsterdam,Stuurmankade 90,1019 KR ,Amsterdam,52.371735,4.941770,,020-4194084,
noord-holland,"/zorgorganisatie/794121/psychologenpraktijk/amsterdam/psychologische-adviespraktijk",psychologenpraktijk,Psychologische adviespraktijk - Amsterdam,C. van Eesterenlaan 313,1019 KT ,Amsterdam,52.370975,4.938608,,020-4415653,
noord-holland,"/zorgorganisatie/810961/psychologenpraktijk/amsterdam/rekvelt-psychologen",psychologenpraktijk,Rekvelt Psychologen - Amsterdam,Lamonggracht 18,1019 RE ,Amsterdam,52.378445,4.927099,,020-6388284,
noord-holland,"/zorgorganisatie/810916/psychologenpraktijk/amsterdam/stades-zang-en-ademtherapie-drs-p",psychologenpraktijk,Stades Zang- en Ademtherapie Drs P - Amsterdam,Javakade 78,1019 RV ,Amsterdam,52.377563,4.931480,,020-4197567,
noord-holland,"/zorgorganisatie/797135/psychologenpraktijk/amsterdam/psychotherapiepraktijk-nieuwendam",psychologenpraktijk,Psychotherapiepraktijk Nieuwendam - Amsterdam,Het Laagt 53,1025 GD ,Amsterdam,52.396988,4.936792,,06-24864686,
noord-holland,"/zorgorganisatie/810992/psychologenpraktijk/amsterdam/cortex-praktijk-neuropsychologisch-onderzoek-a-diagnostiek",psychologenpraktijk,Cortex Praktijk Neuropsychologisch Onderzoek & Diagnostiek - Amsterdam,Meerpad 28,1025 LB ,Amsterdam,52.392788,4.933059,,020-6838931,
noord-holland,"/zorgorganisatie/810958/psychologenpraktijk/amsterdam/pionier-psychologenpraktijk-de",psychologenpraktijk,Pionier Psychologenpraktijk de - Amsterdam,Hagedoornplein 1/b,1031 BV ,Amsterdam,52.387402,4.913420,,020-6322049,
noord-holland,"/zorgorganisatie/811801/psychologenpraktijk/amsterdam/delalma",psychologenpraktijk,Delalma - Amsterdam,Marsstraat 1,1033 VP ,Amsterdam,52.414577,4.883148,,06-11363099,
noord-holland,"/zorgorganisatie/796491/psychologenpraktijk/amsterdam/praktijk-voor-psychologische-hulpverlening-marianne-noot",psychologenpraktijk,Praktijk voor Psychologische Hulpverlening Marianne Noot - Amsterdam,Tuimelaarstraat 2,1035 JH ,Amsterdam,52.422073,4.888821,,020-4931018,
noord-holland,"/zorgorganisatie/811004/psychologenpraktijk/amsterdam/bapas",psychologenpraktijk,Bapas - Amsterdam,Kingsfordweg 151/8,1043 GR ,Amsterdam,52.387066,4.842524,,020-7162464,
noord-holland,"/zorgorganisatie/810990/psychologenpraktijk/amsterdam/explora-instituut",psychologenpraktijk,Explora Instituut - Amsterdam,Waterspiegelplein 60,1051 PC ,Amsterdam,52.384422,4.869214,,020-6824408,
noord-holland,"/zorgorganisatie/810993/psychologenpraktijk/amsterdam/praktijk-psychologische-begeleiding-amsterdam",psychologenpraktijk,Praktijk Psychologische Begeleiding Amsterdam - Amsterdam,De Wittenkade 209,1052 DC ,Amsterdam,52.382347,4.876149,,020-6841507,
noord-holland,"/zorgorganisatie/810940/psychologenpraktijk/amsterdam/meulen-gz-psycholoog-drs-w-vd",psychologenpraktijk,Meulen Gz-Psycholoog Drs W vd - Amsterdam,Jacob van Lennepstraat 101/e,1053 HP ,Amsterdam,52.365417,4.870230,,020-6127719,
noord-holland,"/zorgorganisatie/810949/psychologenpraktijk/amsterdam/warmelink-drs-a-lichaamsgerichte-en-gesprektherapie",psychologenpraktijk,Warmelink Drs A Lichaamsgerichte- en Gesprektherapie - Amsterdam,Overtoom 332,1054 JE ,Amsterdam,52.360634,4.866747,,020-6223739,
noord-holland,"/zorgorganisatie/810907/psychologenpraktijk/amsterdam/bijlmer-ans",psychologenpraktijk,Bijlmer Ans - Amsterdam,Overtoom 508,1054 KK ,Amsterdam,52.358868,4.859415,,020-3640506,
noord-holland,"/zorgorganisatie/810998/psychologenpraktijk/amsterdam/ps-praktijk-seksuologie",psychologenpraktijk,Ps Praktijk Seksuologie - Amsterdam,Wg-Plein 172,1054 SC ,Amsterdam,52.363537,4.871446,,020-6895070,
noord-holland,"/zorgorganisatie/812007/psychologenpraktijk/amsterdam/psi-bull",psychologenpraktijk,Psi Bull - Amsterdam,Wg-Plein 172,1054 SC ,Amsterdam,52.363537,4.871446,,06-57541211,
noord-holland,"/zorgorganisatie/810991/psychologenpraktijk/amsterdam/amsterdam-west-psychologenpraktijk",psychologenpraktijk,Amsterdam-West Psychologenpraktijk - Amsterdam,Marieken van Nimwegenstr 11/hs,1055 BK ,Amsterdam,52.376953,4.850101,,020-6828078,
noord-holland,"/zorgorganisatie/795624/psychologenpraktijk/amsterdam/jellinekmentrum-kliniek-jan-thomeepad",psychologenpraktijk,JellinekMentrum kliniek Jan Thoméepad - Amsterdam,Bestevaerstraat 13-hs,1056 HE ,Amsterdam,52.372768,4.860237,,020-3892875,
noord-holland,"/zorgorganisatie/811798/psychologenpraktijk/amsterdam/koene-casper-psychologenpraktijk-bos-en-lommer",psychologenpraktijk,Koene Casper/psychologenpraktijk Bos en Lommer - Amsterdam,Orteliusstraat 45/47,1057 AR ,Amsterdam,52.365372,4.851253,,06-10890760,
noord-holland,"/zorgorganisatie/793641/psychologenpraktijk/amsterdam/psychologenpraktijk-bos-en-lommer",psychologenpraktijk,Psychologenpraktijk Bos en Lommer - Amsterdam,Orteliusstraat 45-47,1057 AR ,Amsterdam,52.365372,4.851253,,020-6831233,
noord-holland,"/zorgorganisatie/810997/psychologenpraktijk/amsterdam/suyl-psycholoog-r",psychologenpraktijk,Suyl Psycholoog R - Amsterdam,Orteliusstraat 45/47,1057 AR ,Amsterdam,52.365372,4.851253,,020-6890866,
noord-holland,"/zorgorganisatie/810943/psychologenpraktijk/amsterdam/zaitman-mw-drs-a",psychologenpraktijk,Zaitman Mw Drs A - Amsterdam,Jan Evertsenstraat 107/3,1057 BT ,Amsterdam,52.370419,4.852874,,020-6161358,
noord-holland,"/zorgorganisatie/810994/psychologenpraktijk/amsterdam/huijbers-sportpsycholoog-j",psychologenpraktijk,Huijbers Sportpsycholoog J - Amsterdam,Van Speijkstraat 94/2,1057 HE ,Amsterdam,52.368942,4.860396,,020-6852867,
noord-holland,"/zorgorganisatie/795248/psychologenpraktijk/amsterdam/hsk-groep",psychologenpraktijk,HSK Groep - Amsterdam,J. van Wassenaar Obdamstraat 13,1057 JP ,Amsterdam,52.370399,4.861213,,020-6891305,
noord-holland,"/zorgorganisatie/810935/psychologenpraktijk/amsterdam/ergoselect",psychologenpraktijk,Ergoselect - Amsterdam,Hoofdweg 54,1058 BD ,Amsterdam,52.360947,4.853403,,020-4890054,
noord-holland,"/zorgorganisatie/810942/psychologenpraktijk/amsterdam/psychoconsult",psychologenpraktijk,Psychoconsult - Amsterdam,Andreas Schelfhoutstraat 48,1058 HV ,Amsterdam,52.357204,4.852692,,020-6150357,
noord-holland,"/zorgorganisatie/811835/psychologenpraktijk/amsterdam/vandaag-psychologenpraktijk",psychologenpraktijk,Vandaag Psychologenpraktijk - Amsterdam,Rietwijkerstraat 8/hs,1059 VZ ,Amsterdam,52.349174,4.850781,,06-16489963,
noord-holland,"/zorgorganisatie/813516/psychologenpraktijk/amsterdam/de-praktijktuin",psychologenpraktijk,De Praktijktuin - Amsterdam,Groenlandstraat 8,1060 MG ,Amsterdam,52.346901,4.793024,,06-15357909,
noord-holland,"/zorgorganisatie/793260/psychologenpraktijk/amsterdam/ingeborg-douwes-centrum",psychologenpraktijk,Ingeborg Douwes Centrum - Amsterdam,Jan van Galenstraat 335,1061 AZ ,Amsterdam,52.372700,4.836835,,020-5108102 (ma. t/m do. 10-16 uur),
noord-holland,"/zorgorganisatie/810937/psychologenpraktijk/amsterdam/psyq-psycho-medische-programma-s",psychologenpraktijk,Psyq Psycho-Medische Programma's - Amsterdam,Jan van Galenstraat 335,1061 AZ ,Amsterdam,52.372700,4.836835,,020-5894900,
noord-holland,"/zorgorganisatie/810908/psychologenpraktijk/amsterdam/somnus-et-vigilo-bv",psychologenpraktijk,Somnus Et Vigilo BV - Amsterdam,Lobo-Braakensiekstraat 94,1065 HP ,Amsterdam,52.354099,4.820211,,020-4080347,
noord-holland,"/zorgorganisatie/810944/psychologenpraktijk/amsterdam/eerstelijnspsychologiepraktijk",psychologenpraktijk,Eerstelijnspsychologiepraktijk - Amsterdam,Hageland 117,1066 SB ,Amsterdam,52.345753,4.812807,,020-6172881,
noord-holland,"/zorgorganisatie/810941/psychologenpraktijk/amsterdam/evelien-quelle-spiritueel-psycholoog-drs",psychologenpraktijk,Evelien Quelle Spiritueel Psycholoog Drs - Amsterdam,Philip Vingboonsstraat 13,1067 BG ,Amsterdam,52.383011,4.795942,,020-6148871,
noord-holland,"/zorgorganisatie/810981/psychologenpraktijk/amsterdam/eerstelijnspsychologen-landelijke-vereniging-van",psychologenpraktijk,Eerstelijnspsychologen Landelijke Vereniging van - Amsterdam,Osdorper Ban 7/a,1068 LD ,Amsterdam,52.362755,4.803793,,020-6673956,
noord-holland,"/zorgorganisatie/810910/psychologenpraktijk/amsterdam/nederlands-instituut-van-psychologen-nip",psychologenpraktijk,Nederlands Instituut van Psychologen (nip) - Amsterdam,Osdorper Ban 27/a,1068 LD ,Amsterdam,52.362755,4.803793,,020-4106222,
noord-holland,"/zorgorganisatie/810911/psychologenpraktijk/amsterdam/stichting-training-en-scholing-nip",psychologenpraktijk,Stichting Training en Scholing Nip - Amsterdam,Osdorper Ban 27/a,1068 LD ,Amsterdam,52.362755,4.803793,,020-4106930,
noord-holland,"/zorgorganisatie/810909/psychologenpraktijk/amsterdam/praktijk-voor-begeleiding-bij-burnout-a-stress",psychologenpraktijk,Praktijk voor Begeleiding Bij Burnout & Stress - Amsterdam,Noorderakerweg 23,1069 LN ,Amsterdam,52.354004,4.781676,,020-4082850,
noord-holland,"/zorgorganisatie/810931/psychologenpraktijk/amsterdam/delahay-a-van-der-pool-groep",psychologenpraktijk,Delahay & van der Pool Groep - Amsterdam,Jan Luijkenstraat 102/1,1071 CV ,Amsterdam,52.359066,4.878584,,020-4711827,
noord-holland,"/zorgorganisatie/810986/psychologenpraktijk/amsterdam/foelkel-a-de-jong-psychologisch-adviesbureau-voor-musici",psychologenpraktijk,Foelkel & de Jong Psychologisch Adviesbureau voor Musici - Amsterdam,Van Eeghenstraat 36,1071 GH ,Amsterdam,52.358025,4.875579,,020-6760210,
noord-holland,"/zorgorganisatie/795048/psychologenpraktijk/amsterdam/de-muzen",psychologenpraktijk,De Muzen - Amsterdam,Johannes Verhulststraat 14-i,1071 NC ,Amsterdam,52.355717,4.876839,,020-6733591,
noord-holland,"/zorgorganisatie/796244/psychologenpraktijk/amsterdam/psychotherapiepraktijk-atalanta",psychologenpraktijk,Psychotherapiepraktijk Atalanta - Amsterdam,Johannes Verhulststraat 96-i,1071 NK ,Amsterdam,52.354576,4.872482,,020-47033778,
noord-holland,"/zorgorganisatie/810978/psychologenpraktijk/amsterdam/pruis-psycholoog-drs-m-n",psychologenpraktijk,Pruis Psycholoog Drs M N - Amsterdam,De Lairessestraat 48,1071 PB ,Amsterdam,52.353558,4.871385,,020-6620817,
noord-holland,"/zorgorganisatie/795080/psychologenpraktijk/amsterdam/csrcentrum",psychologenpraktijk,CSRCentrum - Amsterdam,De Lairessestraat 112-hs,1071 PK ,Amsterdam,52.353439,4.870939,,020-6798890,
noord-holland,"/zorgorganisatie/813521/psychologenpraktijk/amsterdam/ggz-praktijk-van-oers",psychologenpraktijk,GGZ praktijk Van Oers - Amsterdam,Nicolaas Maesstraat 1453,1071 PZ ,Amsterdam,52.354755,4.880880,,020-4709345,
noord-holland,"/zorgorganisatie/810983/psychologenpraktijk/amsterdam/alkemade-p-w-van",psychologenpraktijk,Alkemade P W van - Amsterdam,Frans van Mierisstraat 44/3,1071 RV ,Amsterdam,52.354401,4.881715,,020-6712840,
noord-holland,"/zorgorganisatie/810969/psychologenpraktijk/amsterdam/henar-psycholoog-mediator-drs-i-g-r",psychologenpraktijk,Henar Psycholoog Mediator Drs I G R - Amsterdam,Reijnier Vinkeleskade 64/3,1071 SX ,Amsterdam,52.352043,4.876074,,020-6439051,
noord-holland,"/zorgorganisatie/797229/psychologenpraktijk/amsterdam/psychotherapiepraktijk-voor-seksuele-klachten",psychologenpraktijk,Psychotherapiepraktijk voor Seksuele Klachten - Amsterdam,Reijnier Vinkeleskade 64,1071 SX ,Amsterdam,52.352043,4.876074,,020-4715272,
noord-holland,"/zorgorganisatie/810980/psychologenpraktijk/amsterdam/overbeek-b-l-i-klik",psychologenpraktijk,Overbeek B L I Klik - Amsterdam,Roelof Hartstraat 44/ii,1071 VK ,Amsterdam,52.352287,4.884385,,020-6644957,
noord-holland,"/zorgorganisatie/810982/psychologenpraktijk/amsterdam/tuinier-a",psychologenpraktijk,Tuinier A - Amsterdam,Roelof Hartstraat 44/3,1071 VK ,Amsterdam,52.352287,4.884385,,020-6712014,
noord-holland,"/zorgorganisatie/797716/psychologenpraktijk/amsterdam/psychologen-groepspraktijk-amsterdam",psychologenpraktijk,Psychologen Groepspraktijk Amsterdam - Amsterdam,Rustenburgerstraat 142a-c,1073 GJ ,Amsterdam,52.352798,4.900622,,020-6795719,
noord-holland,"/zorgorganisatie/810987/psychologenpraktijk/amsterdam/apa-arbeids-psychologie-amsterdam",psychologenpraktijk,Apa Arbeids Psychologie Amsterdam - Amsterdam,Stadhouderskade 133,1074 AW ,Amsterdam,52.358047,4.900575,,020-6760676,
noord-holland,"/zorgorganisatie/811884/psychologenpraktijk/amsterdam/psychologenpraktijk-marion-van-schaik",psychologenpraktijk,Psychologenpraktijk Marion van Schaik - Amsterdam,Hemonylaan 21,1074 BJ ,Amsterdam,52.357342,4.900236,,06-23632252,
noord-holland,"/zorgorganisatie/810930/psychologenpraktijk/amsterdam/bureau-perspectief",psychologenpraktijk,Bureau Perspectief - Amsterdam,Emmaplein 7,1075 AW ,Amsterdam,52.354252,4.862338,,020-4705094,
noord-holland,"/zorgorganisatie/795647/psychologenpraktijk/amsterdam/ggz-buitenamstel-locatie-valeriuskliniek",psychologenpraktijk,GGZ Buitenamstel locatie Valeriuskliniek - Amsterdam,Valeriusplein 9,1075 BG ,Amsterdam,52.352238,4.863909,,020-7885492,
noord-holland,"/zorgorganisatie/813519/psychologenpraktijk/amsterdam/psychologenpraktijk-stuyling-de-lange",psychologenpraktijk,Psychologenpraktijk Stuyling De Lange - Amsterdam,De Lairessestraat 161links,1075 HK ,Amsterdam,52.353611,4.871635,,,
noord-holland,"/zorgorganisatie/810995/psychologenpraktijk/amsterdam/bartelings-drs-anouk",psychologenpraktijk,Bartelings Drs Anouk - Amsterdam,Discusstraat 7,1076 VK ,Amsterdam,52.346214,4.860380,,020-6854695,
noord-holland,"/zorgorganisatie/810929/psychologenpraktijk/amsterdam/amsterdam-psychologenpraktijk-zuid",psychologenpraktijk,Amsterdam Psychologenpraktijk-Zuid - Amsterdam,Memlingstraat 9,1077 LP ,Amsterdam,52.349964,4.874650,,020-4704006,
noord-holland,"/zorgorganisatie/811941/psychologenpraktijk/amsterdam/tilburg-henri-drs-van",psychologenpraktijk,Tilburg Henri Drs van - Amsterdam,Memlingstraat 9,1077 LP ,Amsterdam,52.349964,4.874650,,06-42089455,
noord-holland,"/zorgorganisatie/813382/psychologenpraktijk/amsterdam/zg-praktijk-voor-psychotherapie-f-m-e-slijper",psychologenpraktijk,ZG praktijk voor psychotherapie F.M.E. Slijper - Amsterdam,Rubensstraat 106hs,1077 NC ,Amsterdam,52.345455,4.873887,,020-6796370,
noord-holland,"/zorgorganisatie/810988/psychologenpraktijk/amsterdam/personnel-management-tools",psychologenpraktijk,Personnel Management Tools - Amsterdam,Stadionweg 21,1077 RV ,Amsterdam,52.347069,4.879883,,020-6799509,
noord-holland,"/zorgorganisatie/810984/psychologenpraktijk/amsterdam/visser-de-wit-kinder-en-jeugdpsycholoog-e",psychologenpraktijk,Visser-De Wit Kinder- en Jeugdpsycholoog E - Amsterdam,Stadionweg 88/1,1077 SR ,Amsterdam,52.346985,4.877839,,020-6730288,
noord-holland,"/zorgorganisatie/810933/psychologenpraktijk/amsterdam/keulen-mw-drs-f-m-a-van",psychologenpraktijk,Keulen Mw Drs F M A van - Amsterdam,Herman Gorterstraat 1,1077 WD ,Amsterdam,52.346741,4.885127,,020-4715421,
noord-holland,"/zorgorganisatie/810970/psychologenpraktijk/amsterdam/filet-psychotherapeut-psychoanalyticus",psychologenpraktijk,Filet Psychotherapeut Psychoanalyticus - Amsterdam,Marquette 19,1081 AD ,Amsterdam,52.324295,4.866930,,020-6443888,
noord-holland,"/zorgorganisatie/797133/psychologenpraktijk/amsterdam/marquette",psychologenpraktijk,Marquette - Amsterdam,Marquette 8,1081 AG ,Amsterdam,52.323711,4.868144,,020-6610940,
noord-holland,"/zorgorganisatie/795381/psychologenpraktijk/amsterdam/vu-faculteit-der-psychologie-en-pedagogiek",psychologenpraktijk,VU Faculteit der Psychologie en Pedagogiek - Amsterdam,Van der Boechorststraat 1,1081 BT ,Amsterdam,52.328869,4.861796,,020 5988768,
noord-holland,"/zorgorganisatie/810905/psychologenpraktijk/amsterdam/stress-balance-vof",psychologenpraktijk,Stress Balance Vof - Amsterdam,Arent Janszoon Ernststr 595,1082 LD ,Amsterdam,52.332096,4.876687,,020-3058277,
noord-holland,"/zorgorganisatie/810967/psychologenpraktijk/amsterdam/regenboog-de-drs-karen-m-dun",psychologenpraktijk,Regenboog De/drs Karen M Dun - Amsterdam,Valkhof 30,1082 VJ ,Amsterdam,52.332680,4.870485,,020-6421990,
noord-holland,"/zorgorganisatie/810968/psychologenpraktijk/amsterdam/lijftogt-drs-e-a",psychologenpraktijk,Lijftogt Drs E A - Amsterdam,Dikninge 121/3,1083 VA ,Amsterdam,52.331638,4.886235,,020-6429800,
noord-holland,"/zorgorganisatie/811926/psychologenpraktijk/amsterdam/ijburg-psychologenpraktijk",psychologenpraktijk,Ijburg Psychologenpraktijk - Amsterdam,IJburglaan 630/b,1087 CE ,Amsterdam,52.357479,4.990740,,06-34850370,
noord-holland,"/zorgorganisatie/811903/psychologenpraktijk/amsterdam/spurt-psychologiepraktijk-voor-kinderen",psychologenpraktijk,Spurt Psychologiepraktijk voor Kinderen - Amsterdam,Lumierestraat 63,1087 JA ,Amsterdam,52.353661,5.000872,,06-26699933,
noord-holland,"/zorgorganisatie/811914/psychologenpraktijk/amsterdam/verster-psychologen",psychologenpraktijk,Verster Psychologen - Amsterdam,Willy Mullenskade 9,1087 KH ,Amsterdam,52.352741,5.000964,,06-30105394,
noord-holland,"/zorgorganisatie/816347/psychologenpraktijk/amsterdam/karel-petersen",psychologenpraktijk,Karel Petersen - Amsterdam,Wibautstraat 129,1091 GL ,Amsterdam,52.354076,4.912349,,,
noord-holland,"/zorgorganisatie/795952/psychologenpraktijk/amsterdam/spirit-regiokantoor-oost",psychologenpraktijk,Spirit regiokantoor Oost - Amsterdam,Wibautstraat 120-iii,1091 GP ,Amsterdam,52.355118,4.911644,,020-5926510 (receptie),
noord-holland,"/zorgorganisatie/810977/psychologenpraktijk/amsterdam/psychologen-praktijk-kingeling",psychologenpraktijk,Psychologen Praktijk Kingeling - Amsterdam,Oosterpark 76,1092 AT ,Amsterdam,52.359959,4.920328,,020-6611211,
noord-holland,"/zorgorganisatie/795623/psychologenpraktijk/amsterdam/het-consult",psychologenpraktijk,Het Consult - Amsterdam,Tweede Oosterparkstraat 274-l,1092 BV ,Amsterdam,52.357388,4.917898,,020-6947025,
noord-holland,"/zorgorganisatie/811000/psychologenpraktijk/amsterdam/visscher-psycholoog-hypnotherapeut-drs-mangala",psychologenpraktijk,Visscher Psycholoog-Hypnotherapeut Drs Mangala - Amsterdam,Domselaerstraat 98,1093 MA ,Amsterdam,52.359921,4.927563,,020-6943463,
noord-holland,"/zorgorganisatie/810939/psychologenpraktijk/amsterdam/i-a-e-psychologenpraktijk",psychologenpraktijk,I & E Psychologenpraktijk - Amsterdam,Timorplein 4/b,1094 CB ,Amsterdam,52.365608,4.935158,,020-6123627,
noord-holland,"/zorgorganisatie/810922/psychologenpraktijk/amsterdam/buhrs-psychologisch-advies",psychologenpraktijk,Buhrs Psychologisch Advies - Amsterdam,Madurastraat 115,1094 GK ,Amsterdam,52.364525,4.937977,,020-4217619,
noord-holland,"/zorgorganisatie/811001/psychologenpraktijk/amsterdam/ackerstaff-a-van-der-smagt-psychologen-praktijk",psychologenpraktijk,Ackerstaff & van der Smagt Psychologen Praktijk - Amsterdam,Jennerstraat 1,1097 GB ,Amsterdam,52.348148,4.939341,,020-6946358,
noord-holland,"/zorgorganisatie/796571/psychologenpraktijk/amsterdam/maatschap-linnaea",psychologenpraktijk,Maatschap Linnaea - Amsterdam,Linnaeuskade 11,1098 BD ,Amsterdam,52.355648,4.929667,,020-6948087,
noord-holland,"/zorgorganisatie/813554/psychotherapie-praktijk/amsterdam/praktijk-voor-psychotherapie-e-zuijderland",psychotherapie-praktijk,Praktijk voor psychotherapie E. Zuijderland - Amsterdam,Kerkstraat 299,1017 GZ ,Amsterdam,52.362221,4.896111,,020-6276912,
noord-holland,"/zorgorganisatie/813599/revalidatiecentrum/amsterdam/reade-locatie-overtoom",revalidatiecentrum,Reade locatie Overtoom - Amsterdam,Overtoom 283,1054 HW ,Amsterdam,52.360577,4.866992,,020-6071607,
noord-holland,"/zorgorganisatie/813600/revalidatiecentrum/amsterdam/reade-locatie-dr-jan-van-breemenstraat",revalidatiecentrum,Reade locatie Dr. Jan van Breemenstraat - Amsterdam,Doctor Jan van Breemenstraat 2,1056 AB ,Amsterdam,52.370785,4.843944,,,
noord-holland,"/zorgorganisatie/6915/revalidatiecentrum/amsterdam/de-singel",revalidatiecentrum,De Singel - Amsterdam,H.j.e. Wenckebachweg 48,1096 AN ,Amsterdam,52.338593,4.926447,,,
noord-holland,"/zorgorganisatie/797752/tandartspraktijk/amsterdam/mondzorg-ceintuurbaan",tandartspraktijk,Mondzorg Ceintuurbaan - Amsterdam,Ceintuurbaan 167,1073 EJ ,Amsterdam,52.354420,4.899732,,020-6643201,
noord-holland,"/zorgorganisatie/799187/tandartspraktijk/amsterdam/amsterdamse-kliniek-voor-cosmetische-tandheelkunde-en-implantologie",tandartspraktijk,Amsterdamse Kliniek voor Cosmetische Tandheelkunde en Implantologie - Amsterdam,Apollolaan 84,1077 BD ,Amsterdam,52.350609,4.875731,,020-6713886,
noord-holland,"/zorgorganisatie/813535/tandartspraktijk/amsterdam/kliniek-voor-paradontologie",tandartspraktijk,Kliniek voor Paradontologie - Amsterdam,Weerdestein 117,1083 GH ,Amsterdam,52.331055,4.889171,,020-6460727,
noord-holland,"/zorgorganisatie/792785/ziekenhuis/amsterdam/jellinekmentrum-kliniek-jan-thomeepad",ziekenhuis,JellinekMentrum kliniek Jan Thoméepad - Amsterdam,Jan Thoméepad 5,1034 ZP ,Amsterdam,52.403576,4.922882,,020-5905444,
noord-holland,"/zorgorganisatie/6746/ziekenhuis/amsterdam/sint-lucas-andreas-ziekenhuis",ziekenhuis,Sint Lucas Andreas Ziekenhuis - Amsterdam,Jan Tooropstraat 164,1061 AE ,Amsterdam,52.365356,4.837704,,020-5108911,
noord-holland,"/zorgorganisatie/6746/ziekenhuis/amsterdam/sint-lucas-andreas-ziekenhuis",ziekenhuis,Sint Lucas Andreas Ziekenhuis - Amsterdam,Jan Tooropstraat 164,1061 AE ,Amsterdam,52.365356,4.837704,,020-5108911,
noord-holland,"/zorgorganisatie/6746/ziekenhuis/amsterdam/sint-lucas-andreas-ziekenhuis",ziekenhuis,Sint Lucas Andreas Ziekenhuis - Amsterdam,Jan Tooropstraat 164,1061 AE ,Amsterdam,52.365356,4.837704,,020-5108911,
noord-holland,"/zorgorganisatie/6746/ziekenhuis/amsterdam/sint-lucas-andreas-ziekenhuis",ziekenhuis,Sint Lucas Andreas Ziekenhuis - Amsterdam,Jan Tooropstraat 164,1061 AE ,Amsterdam,52.365356,4.837704,,020-5108911,
noord-holland,"/zorgorganisatie/6746/ziekenhuis/amsterdam/sint-lucas-andreas-ziekenhuis",ziekenhuis,Sint Lucas Andreas Ziekenhuis - Amsterdam,Jan Tooropstraat 164,1061 AE ,Amsterdam,52.365356,4.837704,,020-5108911,
noord-holland,"/zorgorganisatie/6806/ziekenhuis/amsterdam/antoni-van-leeuwenhoek-ziekenhuis",ziekenhuis,Antoni van Leeuwenhoek Ziekenhuis - Amsterdam,Plesmanlaan 121,1066 CX ,Amsterdam,52.351128,4.815660,,020-5129111,
noord-holland,"/zorgorganisatie/6806/ziekenhuis/amsterdam/antoni-van-leeuwenhoek-ziekenhuis",ziekenhuis,Antoni van Leeuwenhoek Ziekenhuis - Amsterdam,Plesmanlaan 121,1066 CX ,Amsterdam,52.351128,4.815660,,020-5129111,
noord-holland,"/zorgorganisatie/6806/ziekenhuis/amsterdam/antoni-van-leeuwenhoek-ziekenhuis",ziekenhuis,Antoni van Leeuwenhoek Ziekenhuis - Amsterdam,Plesmanlaan 121,1066 CX ,Amsterdam,52.351128,4.815660,,020-5129111,
